# Seeders Kecamatan
kode	kecamatan
3603020	TIGARAKSA
3603051	KELAPA DUA
3603160	MAUK
3603200	TELUKNAGA
3603040	PANONGAN
3603060	LEGOK
3603141	GUNUNG KALER
3603170	RAJEG
3603010	CISOKA
3603081	CISAUK
3603132	SUKAMULYA
3603140	KRESEK
3603151	MEKAR BARU
3603130	BALARAJA
3603131	JAYANTI
3603210	KOSAMBI
3603011	SOLEAR
3603021	JAMBE
3603070	PAGEDANGAN
3603162	SUKADIRI
3603180	SEPATAN
3603030	CIKUPA
3603050	CURUG
3603120	PASARKEMIS
3603150	KRONJO
3603161	KEMIRI
3603181	SEPATAN TIMUR
3603190	PAKUHAJI
3603121	SINDANG JAYA


# Seders Desa
full_code_kecamatan	full_code_desa	desa_nama
3603020	3603020001	CILELES
3603020	3603020002	BANTAR PANJANG
3603020	3603020003	SODONG
3603020	3603020004	TAPOS
3603020	3603020013	MARGA SARI
3603020	3603020014	KADU AGUNG
3603020	3603020015	MATA GARA
3603020	3603020016	TIGARAKSA
3603020	3603020017	PETE
3603020	3603020018	TEGALSARI
3603020	3603020019	PEMATANG
3603020	3603020020	PASIR NANGKA
3603020	3603020021	CISEREH
3603020	3603020022	PASIR BOLANG
3603051	3603051001	BOJONG NANGKA
3603051	3603051002	CURUG SANGERENG
3603051	3603051003	PAKULONAN BARAT
3603051	3603051004	KELAPA DUA
3603051	3603051005	BENCONGAN INDAH
3603051	3603051006	BENCONGAN
3603160	3603160007	GUNUNG SARI
3603160	3603160008	SASAK
3603160	3603160009	KEDUNG DALEM
3603160	3603160010	TEGAL KUNIR KIDUL
3603160	3603160011	JATI WARINGIN
3603160	3603160019	TEGAL KUNIR LOR
3603160	3603160020	BANYU ASIH
3603160	3603160021	MAUK TIMUR
3603160	3603160022	MAUK BARAT
3603160	3603160023	KETAPANG
3603160	3603160024	MARGA MULYA
3603160	3603160025	TANJUNG ANOM
3603200	3603200001	BOJONG RENGED
3603200	3603200002	KEBON CAU
3603200	3603200003	TELUK NAGA
3603200	3603200004	BABAKAN ASEM
3603200	3603200005	KAMPUNG MELAYU TIMUR
3603200	3603200006	KAMPUNG MELAYU BARAT
3603200	3603200007	KAMPUNG BESAR
3603200	3603200008	L E M O
3603200	3603200009	TEGAL ANGUS
3603200	3603200010	PANGKALAN
3603200	3603200011	TANJUNG BURUNG
3603200	3603200012	TANJUNG PASIR
3603200	3603200013	MUARA
3603040	3603040001	RANCA IYUH
3603040	3603040002	MEKAR JAYA
3603040	3603040003	RANCA KALAPA
3603040	3603040004	PANONGAN
3603040	3603040005	SERDANG KULON
3603040	3603040006	CIAKAR
3603040	3603040007	MEKAR BAKTI
3603040	3603040008	PEUSAR
3603060	3603060001	CIANGIR
3603060	3603060002	BABAT
3603060	3603060003	BOJONG KAMAL
3603060	3603060004	CIRARAB
3603060	3603060005	CARINGIN
3603060	3603060006	BABAKAN
3603060	3603060007	KAMUNING
3603060	3603060008	PALA SARI
3603060	3603060009	SERDANG WETAN
3603060	3603060010	RANCAGONG
3603060	3603060011	LEGOK
3603141	3603141001	KANDA WATI
3603141	3603141002	CIBETOK
3603141	3603141003	TAMIANG
3603141	3603141004	CIPAEH
3603141	3603141005	KEDUNG
3603141	3603141006	ONYAM
3603141	3603141007	GUNUNG KALER
3603141	3603141008	SIDOKO
3603141	3603141009	RANCA GEDE
3603170	3603170002	JAMBU KARYA
3603170	3603170003	DAON
3603170	3603170004	SUKA TANI
3603170	3603170005	MEKARSARI
3603170	3603170006	SUKA SARI
3603170	3603170007	RAJEGMULYA
3603170	3603170008	RAJEG
3603170	3603170009	SUKA MANAH
3603170	3603170010	PANGARENGAN
3603170	3603170011	RANCA BANGO
3603170	3603170012	LEMBANG SARI
3603170	3603170013	TANJAKAN
3603170	3603170014	TANJAKAN MEKAR
3603010	3603010008	JEUNG JING
3603010	3603010009	CISOKA
3603010	3603010010	SUKATANI
3603010	3603010011	CEMPAKA
3603010	3603010012	KARANGHARJA
3603010	3603010013	CARENANG
3603010	3603010014	BOJONGLOA
3603010	3603010015	CARINGIN
3603010	3603010016	SELAPAJANG
3603010	3603010017	CIBUGEL
3603081	3603081001	MEKARWANGI
3603081	3603081002	DANGDANG
3603081	3603081003	SURADITA
3603081	3603081004	CISAUK
3603081	3603081005	SAMPORA
3603081	3603081006	CIBOGO
3603132	3603132001	KUBANG
3603132	3603132002	PARAHU
3603132	3603132003	SUKA MULYA
3603132	3603132004	KALI ASIN
3603132	3603132005	MERAK
3603132	3603132006	BUNAR
3603132	3603132007	BENDA
3603132	3603132008	BUNI AYU
3603140	3603140001	KOPER
3603140	3603140002	PASIR AMPO
3603140	3603140003	PATRA SANA
3603140	3603140004	RENGED
3603140	3603140005	TALOK
3603140	3603140006	JENGKOL
